,length,height,width,angle of attack,length*heigth*width (Ordering Wings)
170,0.55,0.125,2.54,0.314,0.17462500000000003
169,0.55,0.125,2.54,0.157,0.17462500000000003
168,0.55,0.125,2.54,0.0,0.17462500000000003
124,0.3,0.2,3.0,0.628,0.18
121,0.3,0.2,3.0,0.157,0.18
122,0.3,0.2,3.0,0.314,0.18
123,0.3,0.2,3.0,0.471,0.18
125,0.3,0.2,3.0,0.785,0.18
120,0.3,0.2,3.0,0.0,0.18
178,0.55,0.125,3.0,0.628,0.20625000000000002
179,0.55,0.125,3.0,0.785,0.20625000000000002
177,0.55,0.125,3.0,0.471,0.20625000000000002
174,0.55,0.125,3.0,0.0,0.20625000000000002
175,0.55,0.125,3.0,0.157,0.20625000000000002
176,0.55,0.125,3.0,0.314,0.20625000000000002
191,0.55,0.2,2.54,0.785,0.27940000000000004
190,0.55,0.2,2.54,0.628,0.27940000000000004
189,0.55,0.2,2.54,0.471,0.27940000000000004
188,0.55,0.2,2.54,0.314,0.27940000000000004
186,0.55,0.2,2.54,0.0,0.27940000000000004
187,0.55,0.2,2.54,0.157,0.27940000000000004
196,0.55,0.2,3.0,0.628,0.33000000000000007
192,0.55,0.2,3.0,0.0,0.33000000000000007
193,0.55,0.2,3.0,0.157,0.33000000000000007
194,0.55,0.2,3.0,0.314,0.33000000000000007
195,0.55,0.2,3.0,0.471,0.33000000000000007
197,0.55,0.2,3.0,0.785,0.33000000000000007
136,0.3,0.55,2.54,0.628,0.41910000000000003
135,0.3,0.55,2.54,0.471,0.41910000000000003
134,0.3,0.55,2.54,0.314,0.41910000000000003
133,0.3,0.55,2.54,0.157,0.41910000000000003
132,0.3,0.55,2.54,0.0,0.41910000000000003
137,0.3,0.55,2.54,0.785,0.41910000000000003
142,0.3,0.55,3.0,0.628,0.495
143,0.3,0.55,3.0,0.785,0.495
138,0.3,0.55,3.0,0.0,0.495
139,0.3,0.55,3.0,0.157,0.495
140,0.3,0.55,3.0,0.314,0.495
